Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
반코팅 면장갑 10p(Coated Gloves 10p)[MULTI],반코팅 면장갑 10p(Coated Gloves 10p)[MULTI],Home Supplies,True,8100000099,10,shopify,12,deny,manual,9.90,9.90,True,"=""8100000099""",6.17,active,O,O,,-,4 Left,3 Left,3 Left,2 Left,CFC,
반코팅 면장갑 1P(Coated Gloves 1P)[SINGLE],반코팅 면장갑 1P(Coated Gloves 1P)[SINGLE],Home Supplies,True,8000000099,10,shopify,9,deny,manual,1.20,1.20,True,"=""8000000099""",0.62,active,O,O,,-,Out of stock,4 Left,2 Left,3 Left,CFC,
벌교 피꼬막 500g(BG Ark Shell 500g),벌교 피꼬막 500g(BG Ark Shell 500g),"Seafood, New",TRUE,8809426330331,500,shopify,24,deny,manual,22.80,22.80,TRUE,"=""8809426330331""",19.00,active,O,O,O,-,In stock,5 Left,4 Left,1 Left,,
별이당 오쟁이뽕떡 400G(BLD Mulberry leaves Chapssaltteok),별이당 오쟁이뽕떡 400G(BLD Mulberry leaves Chapssaltteok),"Frozen Foods, Snacks, New, Special",TRUE,8809838860068,400,shopify,35,deny,manual,11.41,16.30,TRUE,"=""8809838860068""",9.58,active,O,O,,-,In stock,6 Left,In stock,6 Left,JD,
병따개(Bottle Opener),병따개(Bottle Opener),"Home Supplies, Kitchen and Dining",True,112005054,10,shopify,277,deny,manual,1.00,1.00,True,"=""112005054""",0.50,active,O,O,,-,In stock,In stock,In stock,In stock,CFC,
부채살 1.5mm 700g(Beef Oyster Blade Sliced 1.5mm 700g),부채살 1.5mm 700g(Beef Oyster Blade Sliced 1.5mm 700g),Meat,True,110106029,700,shopify,62,deny,manual,22.80,22.80,True,"=""110106029""",18.90,active,O,O,,-,In stock,In stock,In stock,8 Left,HGW,
부채살 2M 1KG(BEEF OYSTER BLADE SLICE 2M 1KG),부채살 2M 1KG(BEEF OYSTER BLADE SLICE 2M 1KG),Meat,True,112005253,1000,shopify,40,deny,manual,25.50,25.50,True,"=""112005253""",22.00,active,O,O,O,-,In stock,9 Left,7 Left,8 Left,HGW,
부채살(샤브샤브/불고기용)1.5mm 250g(Beef Oyster Blade Sliced 1.5mm 250g),부채살(샤브샤브/불고기용)1.5mm 250g(Beef Oyster Blade Sliced 1.5mm 250g),Meat,True,110106032,250,shopify,91,deny,manual,8.90,8.90,True,"=""110106032""",7.40,active,O,O,O,-,In stock,In stock,In stock,In stock,HGW,
빙그레 더위사냥(커피) 140ml(BGR Ice Stick(coffee) 140ml),빙그레 더위사냥(커피) 140ml(BGR Ice Stick(coffee) 140ml),Ice Cream,True,8801104111553,140,shopify,57,deny,manual,2.90,2.90,True,"=""8801104111553""",1.83,active,O,O,,-,In stock,In stock,In stock,In stock,CFC,
빙그레 딸기우유 200ml(BGR Strawberry Milk 200ml)[SINGLE],빙그레 딸기우유 200ml(BGR Strawberry Milk 200ml)[SINGLE],Milk,TRUE,8801104940023,200,shopify,24,deny,manual,3.10,3.10,TRUE,"=""8801104940023""",,active,O,O,,-,6 Left,7 Left,5 Left,6 Left,,
빙그레 딸기우유 200ml*6(BGR Strawberry Milk 200ml*6)[MULTI],빙그레 딸기우유 200ml*6(BGR Strawberry Milk 200ml*6)[MULTI],Milk,TRUE,8801104940030,1200,shopify,13,deny,manual,17.50,17.50,TRUE,"=""8801104940030""",9.35,active,O,O,,-,3 Left,3 Left,7 Left,Out of stock,KS,
