Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
CJ 쁘띠첼미초(청포도) 900ml(CJ Vinegar Drink(Green Grape) 900ml),CJ 쁘띠첼미초(청포도) 900ml(CJ Vinegar Drink(Green Grape) 900ml),"Cordials, Cafe, Vegan",TRUE,8801007319520,900,shopify,20,deny,manual,14.50,14.50,TRUE,8801007319520,8.17,active,O,O,O,-,6 Left,6 Left,5 Left,3 Left,CFC,
CJ 쁘띠첼미초(파인애플) 900ml(CJ Vinegar Drink(Pineapple) 900ml),CJ 쁘띠첼미초(파인애플) 900ml(CJ Vinegar Drink(Pineapple) 900ml),"Cordials, Cafe, Vegan",TRUE,8801007549385,900,shopify,7,deny,manual,14.50,14.50,TRUE,8801007549385,8.17,active,O,O,O,-,3 Left,1 Left,1 Left,2 Left,CFC,
CJ 쁘티첼 요거젤리 딸기 210g(CJ Petitzel Yogurjelly Strawberry 210g),CJ 쁘티첼 요거젤리 딸기 210g(CJ Petitzel Yogurjelly Strawberry 210g),Confectionaries,TRUE,8801007010496,210,shopify,0,deny,manual,4.99,4.99,TRUE,8801007010496,3.53,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 쁘티첼 요거젤리 밀감 210g(CJ Petitzel Yogurjelly Tangerine 210g),CJ 쁘티첼 요거젤리 밀감 210g(CJ Petitzel Yogurjelly Tangerine 210g),Confectionaries,TRUE,8801007010489,210,shopify,0,deny,manual,4.99,4.99,TRUE,8801007010489,3.53,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 쁘티첼 요거젤리 복숭아 210g(CJ Petitzel Yogurjelly Peach 210g),CJ 쁘티첼 요거젤리 복숭아 210g(CJ Petitzel Yogurjelly Peach 210g),Confectionaries,TRUE,8801007019017,210,shopify,0,deny,manual,4.99,4.99,TRUE,8801007019017,3.53,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 사누끼우동면 230G*5(CJ SANUKI UDON NOODLE 230G*5),CJ 사누끼우동면 230G*5(CJ SANUKI UDON NOODLE 230G*5),"Frozen Foods, Noodles",TRUE,807176707388,1150,shopify,13,deny,manual,9.30,9.30,TRUE,807176707388,4.36,active,O,O,,-,1 Left,3 Left,6 Left,3 Left,KF,
CJ 새우볶음밥 255g*2(CJ Shrimp Fried Rice 255g*2),CJ 새우볶음밥 255g*2(CJ Shrimp Fried Rice 255g*2),"Frozen Foods, Rice, Mild",TRUE,807176713280,510,shopify,0,deny,manual,16.30,16.30,TRUE,807176713280,9.58,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KFBW,
CJ 쇠고기 다시다(명품) 250g(CJ Beef Stock Powder(Gold) 250g),CJ 쇠고기 다시다(명품) 250g(CJ Beef Stock Powder(Gold) 250g),Stock,TRUE,807176709986,250,shopify,29,deny,manual,9.30,9.30,TRUE,807176709986,5.89,active,O,O,O,-,3 Left,In stock,7 Left,8 Left,CFC,
CJ 쇠고기다시다 1kg(CJ Beef Stock Powder 1kg),CJ 쇠고기다시다 1kg(CJ Beef Stock Powder 1kg),Stock,TRUE,8801007564760,1000,shopify,8,deny,manual,26.50,26.50,TRUE,8801007564760,17.67,active,O,O,,-,1 Left,3 Left,3 Left,1 Left,KF,
CJ 쇠고기다시다(명품) 100g(CJ Beef Stock Powder(Gold) 100g),CJ 쇠고기다시다(명품) 100g(CJ Beef Stock Powder(Gold) 100g),Stock,TRUE,807176710005,100,shopify,15,deny,manual,4.50,4.50,TRUE,807176710005,2.73,active,O,O,O,-,2 Left,5 Left,5 Left,3 Left,CFC,
